date,monitors,subplot,point,hit_1,hit_2,hit_3,hit_4,hit_5,hit_6,hit_7,hit_8,UNKNOWNS,notes,Date Entered,Entered By,Data Entry Notes,Data Location,QA/QC
8/17/2018,"Cliff, Noah",TBS 1,1,VAC sp. ,,,,,,,,CARROS is unconfirmed. There is a similar Car spp with a taller flower,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,2,JUNDRU ,LITTER,,,,,,,UNKHSL we started calling VIOADU later for 8/17 data,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,3,JUNDRU ,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,4,JUNDRU ,AGOGLA,LITTER,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,5,JUNDRU ,VAC sp. ,AGOGLA,LITTER,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,6,LITTER,,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,7,CARROS,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,8,JUNDRU ,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,9,GENPAR,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,10,DANINT,VAC sp. ,LITTER,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,11,JUNDRU ,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,12,VIOADU,DANINT,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,13,JUNDRU ,VIOADU,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,14,LITTER,,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,15,AGOGLA,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,16,JUNDRU ,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,17,JUNDRU ,TRIPAR,AGOGLA,LITTER,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,18,TRISPI,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,19,JUNDRU ,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,20,JUNDRU ,TRIPAR,LITTER,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,21,AGOGLA,JUNDRU,VAC sp. ,LITTER,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,22,AGOGLA,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,23,AGOGLA,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,24,LITTER,,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,25,LITTER,,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,26,AGOGLA,,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
8/17/2018,"Cliff, Noah",TBS 1,27,CARROS,LITTER,,,,,,,,,8/21/2018,"LB,JH",,Subplot Datasheets,JC
