"","subplot","point","hits","sp"
"1","TBS 1","1","hit_1","VACSPP"
"2","TBS 1","2","hit_1","JUNDRU"
"3","TBS 1","3","hit_1","JUNDRU"
"4","TBS 1","4","hit_1","JUNDRU"
"5","TBS 1","4","hit_2","AGOGLA"
"6","TBS 1","5","hit_1","JUNDRU"
"7","TBS 1","5","hit_2","VACSPP"
"8","TBS 1","5","hit_3","AGOGLA"
"9","TBS 1","7","hit_1","CARROS"
"10","TBS 1","8","hit_1","JUNDRU"
"11","TBS 1","9","hit_1","GENPAR"
"12","TBS 1","10","hit_1","DANINT"
"13","TBS 1","10","hit_2","VACSPP"
"14","TBS 1","11","hit_1","JUNDRU"
"15","TBS 1","12","hit_1","VIOADU"
"16","TBS 1","12","hit_2","DANINT"
"17","TBS 1","13","hit_1","JUNDRU"
"18","TBS 1","13","hit_2","VIOADU"
"19","TBS 1","15","hit_1","AGOGLA"
"20","TBS 1","16","hit_1","JUNDRU"
"21","TBS 1","17","hit_1","JUNDRU"
"22","TBS 1","17","hit_2","TRIPAR"
"23","TBS 1","17","hit_3","AGOGLA"
"24","TBS 1","18","hit_1","TRISPI"
"25","TBS 1","19","hit_1","JUNDRU"
"26","TBS 1","20","hit_1","JUNDRU"
"27","TBS 1","20","hit_2","TRIPAR"
"28","TBS 1","21","hit_1","AGOGLA"
"29","TBS 1","21","hit_2","JUNDRU"
"30","TBS 1","21","hit_3","VACSPP"
"31","TBS 1","22","hit_1","AGOGLA"
"32","TBS 1","23","hit_1","AGOGLA"
"33","TBS 1","26","hit_1","AGOGLA"
"34","TBS 1","27","hit_1","CARROS"
"35","TBS 1","28","hit_1","VACSPP"
"36","TBS 1","28","hit_2","CARROS"
"37","TBS 1","29","hit_1","JUNDRU"
"38","TBS 1","30","hit_1","PHLALP"
"39","TBS 1","31","hit_1","JUNDRU"
"40","TBS 1","32","hit_1","CARROS"
"41","TBS 1","33","hit_1","AGOGLA"
"42","TBS 1","35","hit_1","JUNDRU"
"43","TBS 1","36","hit_1","JUNDRU"
"44","TBS 1","39","hit_1","VACSPP"
"45","TBS 1","41","hit_1","JUNDRU"
"46","TBS 1","41","hit_2","VACSPP"
"47","TBS 1","42","hit_1","JUNDRU"
"48","TBS 1","43","hit_1","JUNDRU"
"49","TBS 1","46","hit_1","AGOGLA"
"50","TBS 1","48","hit_1","ANTMED"
"51","TBS 1","49","hit_1","JUNDRU"
"52","TBS 1","49","hit_2","VIOADU"
"53","TBS 1","50","hit_1","VACSPP"
"54","TBS 5","1","hit_1","DANINT"
"55","TBS 5","1","hit_2","AGOGLA"
"56","TBS 5","2","hit_1","DANINT"
"57","TBS 5","2","hit_2","VIOADU"
"58","TBS 5","3","hit_1","ERIGLA"
"59","TBS 5","4","hit_1","JUNDRU"
"60","TBS 5","5","hit_1","ERIGLA"
"61","TBS 5","6","hit_1","ERIGLA"
"62","TBS 5","7","hit_1","JUNDRU"
"63","TBS 5","7","hit_2","VIOADU"
"64","TBS 5","8","hit_1","VIOADU"
"65","TBS 5","9","hit_1","JUNDRU"
"66","TBS 5","9","hit_2","ERIGLA"
"67","TBS 5","11","hit_1","POASKI"
"68","TBS 5","11","hit_2","VIOADU"
"69","TBS 5","11","hit_3","ERIGLA"
"70","TBS 5","11","hit_4","LIGTEN"
"71","TBS 5","12","hit_1","ANTMED"
"72","TBS 5","13","hit_1","DANINT"
"73","TBS 5","13","hit_2","ERIGLA"
"74","TBS 5","14","hit_1","JUNDRU"
"75","TBS 5","14","hit_2","ERIGLA"
"76","TBS 5","16","hit_1","ERIGLA"
"77","TBS 5","17","hit_1","ERIGLA"
"78","TBS 5","18","hit_1","ERIGLA"
"79","TBS 5","18","hit_2","CARROS"
"80","TBS 5","19","hit_1","DESCES"
"81","TBS 5","19","hit_2","VIOADU"
"82","TBS 5","20","hit_1","DESCES"
"83","TBS 5","20","hit_2","LIGTEN"
"84","TBS 5","22","hit_1","VIOADU"
"85","TBS 5","23","hit_1","CARROS"
"86","TBS 5","24","hit_1","LIGTEN"
"87","TBS 5","25","hit_1","DESCES"
"88","TBS 5","25","hit_2","VIOADU"
"89","TBS 5","25","hit_3","SIBPRO"
"90","TBS 5","26","hit_1","VIOADU"
"91","TBS 5","27","hit_1","JUNDRU"
"92","TBS 5","27","hit_2","VIOADU"
"93","TBS 5","29","hit_1","POLBIS"
"94","TBS 5","30","hit_1","SIBPRO"
"95","TBS 5","32","hit_1","JUNDRU"
"96","TBS 5","32","hit_2","VIOADU"
